162.159.39.91:443#JP 46.77ms 87.74MB/s
162.159.38.31:443#JP 51.45ms 69.87MB/s
162.159.45.127:443#JP 48.89ms 63.63MB/s
173.245.58.19:443#SG 77.39ms 54.21MB/s
162.159.44.139:443#JP 47.45ms 52.43MB/s
172.64.52.150:443#JP 48.02ms 45.53MB/s
173.245.59.158:443#SG 78.81ms 45.25MB/s
108.162.195.48:443#SG 78.73ms 43.83MB/s
162.159.14.62:443#SG 77.40ms 41.75MB/s
172.64.156.31:443#SG 78.52ms 38.01MB/s
