162.159.137.192:443#HK 145ms 32.63MB/s
172.67.78.103:443#HK 154ms 28.55MB/s
172.67.72.37:443#HK 147ms 25.64MB/s
162.159.153.231:443#HK 156ms 25.50MB/s
162.159.152.102:443#HK 157ms 22.85MB/s
104.26.6.54:443#HK 150ms 21.14MB/s
162.159.128.163:443#HK 155ms 20.65MB/s
172.67.74.76:443#HK 153ms 17.88MB/s
162.159.138.240:443#HK 150ms 14.41MB/s
104.20.18.36:443#HK 158ms 12.56MB/s
