IP地址,端口号,TLS,丢包率,扫描方式,网络延迟,下载速度,出站IP,IP类型,原始输入,数据中心,源IP位置,地区,城市,ASN号码,ASN组织,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
166.88.33.157,443,true,0%,HTTPing,413ms,未测速,2602:f873:11:605:0:1:9c0c:a786,IPv6,166.88.33.157,LAS,US,North America,Las Vegas,AS7488,CNServer LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
157.254.18.193,443,true,0%,HTTPing,413ms,未测速,157.254.18.193,IPv4,157.254.18.193,LAX,US,North America,Los Angeles,AS26042,"FiberState, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
192.241.210.199,443,true,0%,HTTPing,413ms,未测速,2604:a880:1:4a::11a7:b000,IPv6,192.241.210.199,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
155.117.18.19,443,true,0%,HTTPing,413ms,未测速,155.117.18.19,IPv4,155.117.18.19,LAX,US,North America,Los Angeles,AS26042,"FiberState, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912243.000
172.86.114.80,443,true,0%,HTTPing,414ms,未测速,2605:7980:0:6680::1,IPv6,172.86.114.80,DFW,US,North America,Dallas,AS14956,RouterHosting LLC,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912239.000
192.241.238.75,443,true,0%,HTTPing,414ms,未测速,2604:a880:1:4a::14a1:4000,IPv6,192.241.238.75,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
205.186.76.187,443,true,0%,HTTPing,415ms,未测速,205.186.76.187,IPv4,205.186.76.187,LAX,US,North America,Los Angeles,AS30058,FDCservers.net,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912240.000
209.38.157.8,443,true,0%,HTTPing,415ms,未测速,2604:a880:4:1d0:0:2:4633:4000,IPv6,209.38.157.8,SJC,US,North America,San Jose,AS14061,"DigitalOcean, LLC",https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912238.000
142.248.219.135,2053,true,0%,HTTPing,415ms,未测速,2602:f95c:21:142:248:219:0:254,IPv6,142.248.219.135,SJC,US,North America,San Jose,AS33039,Unify Media Ltd,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912241.000
95.182.93.238,8443,true,0%,HTTPing,415ms,未测速,2a13:7c00:8:23:f816:3eff:fe8b:4e0b,IPv6,95.182.93.238,MCI,US,North America,Kansas City,AS56971,Cgi Global Limited,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519MLKEM768,1788912242.000
